gene,log2fc,p_value,mean_active,mean_latent,p_adj,significant
CNNM3,-0.6477160453569221,9.966514046006844e-21,1019.0663773195876,1596.5570108433733,1.745825471456037e-18,True
GIPC1,-0.69850036582152,1.0148491692849605e-20,474.7998340206186,770.5132662650601,1.7647264058303366e-18,True
NUMA1,-0.5679670193622091,1.0677318200077457e-20,692.3348865979381,1026.3401662650601,1.837548056002087e-18,True
CCT7,-0.3773097458672813,1.0721537160907111e-20,3136.8776804123704,4074.5451566265056,1.837548056002087e-18,True
PARP9,1.0321976288080568,1.3511325497073642e-20,3437.2723938144327,1680.705039759036,2.299145052262753e-18,True
CD6,-0.7184927777478022,1.3711330800485892e-20,3085.5130412371136,5077.0947,2.3166314443969886e-18,True
IL7R,-0.7345289860107387,1.4117365238637518e-20,5822.222958762886,9687.32990361446,2.351874070489941e-18,True
IFITM3,1.2085744489258456,1.4077598242672168e-20,32440.443494845364,14036.84879518072,2.351874070489941e-18,True
BLK,-1.3415635381391615,1.43574209263632e-20,247.19992515463917,626.4684455421688,2.375255824505212e-18,True
ZNF827,-1.0026855692146877,1.7072800249972695e-20,278.8021682474227,558.6432807228915,2.8050022093455138e-18,True
LOC284167,-0.6123855835895377,1.7618464131580873e-20,240.22089381443294,367.246113253012,2.8748265137441857e-18,True
MMS19L,-0.45543546626219383,2.12605463195732e-20,1312.5899969072163,1799.818977108434,3.4455101698720566e-18,True
IL15,0.8677030934960074,2.2356045585793153e-20,381.4664195876289,209.05071373493976,3.598568067502367e-18,True
EMILIN2,0.6249338219491726,2.4055329711171364e-20,2854.1784123711345,1850.7906265060242,3.846108185968023e-18,True
P2RY8,-0.5021618632646248,2.5205917907811175e-20,2489.6935154639173,3526.238409638554,3.9744030463184306e-18,True
PRKCH,-0.6345738546631998,2.5358236285959007e-20,2389.0257649484533,3708.912590361446,3.9744030463184306e-18,True
EPHA4,-0.9742836397270191,2.5055413810872898e-20,74.49165371134019,146.3511756626506,3.9744030463184306e-18,True
MIR21,1.1897060065132818,2.716602045712387e-20,480.6162443298969,210.69840667469882,4.229909185294522e-18,True
LYRM7,-0.5651867576488454,2.746147695838937e-20,447.56899072164947,662.2136927710842,4.248147828439675e-18,True
LCK,-0.743357014179309,2.8803878212327674e-20,449.2724958762887,752.1121265060242,4.427063165498595e-18,True
C2orf44,-0.5219065058242466,3.372028536796967e-20,315.60981958762886,453.16881927710835,5.149476655904753e-18,True
PAQR8,-0.6655031557913851,3.4884724120337753e-20,684.1084298969072,1085.0789891566264,5.259865713410166e-18,True
LOC93622,-0.7213301911224991,3.4804993984189025e-20,180.65864164948454,297.85216746987953,5.259865713410166e-18,True
NCR3,-1.2518261392366192,3.5669266377896655e-20,166.9396561340206,397.55455325301205,5.344332911450516e-18,True
PIK3C2B,-0.7630594884869654,3.702747019661992e-20,220.7926462886598,374.7040603614458,5.513158890587978e-18,True
KCNJ2,0.942104419528245,5.089414625829307e-20,3139.029597938144,1633.7805493975904,7.484266952538987e-18,True
SORT1,0.9643356956614019,5.083408857167815e-20,1198.4370546391751,614.2161879518073,7.484266952538987e-18,True
